Language|##|QuestionCode|##|Category|##|WebTranslation|##|FullTranslation|##|Note
EN|##|MM150_1|##|OSH Management |##|Use of health and safety services: An occupational health doctor|##|An occupational health doctor|##|What health and safety services do you use, be it in-house or contracted externally? An occupational health doctor
EN|##|MM150_2|##|OSH Management |##|Use of health and safety services: A safety expert|##|A safety expert|##|What health and safety services do you use, be it in-house or contracted externally? A safety expert
EN|##|MM150_3|##|OSH Management |##|Use of health and safety services: A psychologist|##|A psychologist|##|What health and safety services do you use, be it in-house or contracted externally? A psychologist
EN|##|MM150_4|##|OSH Management |##|Use of health and safety services: An ergonomics expert, dealing with the set up of the workstation|##|An ergonomics expert, dealing with the set up of the workstation|##|What health and safety services do you use, be it in-house or contracted externally? An ergonomics expert, dealing with the set up of the workstation
EN|##|MM150_5|##|OSH Management |##|Use of health and safety services: A general health and safety consultancy|##|A general health and safety consultancy|##|What health and safety services do you use, be it in-house or contracted externally? A general health and safety consultancy
EN|##|MM152|##|OSH Management |##|Does your establishment routinely analyse the causes of sickness absence?|##|Does your establishment routinely analyse the causes of sickness absence?|##|Does your establishment routinely analyse the causes of sickness absence?
EN|##|MM153|##|OSH Management |##|Do you take measures to support employees’ return to work following a long-term sickness absence?|##|Do you take measures to support employees’ return to work following a long-term sickness absence?|##|Do you take measures to support employees’ return to work following a long-term sickness absence?
EN|##|MM154|##|OSH Management |##|Is the health of employees monitored through regular medical examinations?|##|Is the health of employees monitored through regular medical examinations?|##|Is the health of employees monitored through regular medical examinations?
EN|##|MM155|##|OSH Management |##|Is there a documented policy, established management system or action plan on health and safety in your establishment?|##|Is there a documented policy, established management system or action plan on health and safety in your establishment?|##|Is there a documented policy, established management system or action plan on health and safety in your establishment?
EN|##|MM158|##|OSH Management |##|Are health and safety issues raised in high level management meetings regularly, occasionally or practically never?|##|Are health and safety issues raised in high level management meetings regularly, occasionally or practically never?|##|Are health and safety issues raised in high level management meetings regularly, occasionally or practically never?
EN|##|MM159|##|OSH Management |##|Overall, how would you rate the degree of involvement of the line managers and supervisors in the management of health and safety? Is it very high, quite high, quite low or very low?|##|Overall, how would you rate the degree of involvement of the line managers and supervisors in the management of health and safety? Is it very high, quite high, quite low or very low?|##|Overall, how would you rate the degree of involvement of the line managers and supervisors in the management of health and safety? Is it very high, quite high, quite low or very low?
EN|##|MM161|##|OSH Management |##|Are workplaces in your establishment regularly checked for safety and health as part of a risk assessment or similar measure?|##|Are workplaces in your establishment regularly checked for safety and health as part of a risk assessment or similar measure?|##|Are workplaces in your establishment regularly checked for safety and health as part of a risk assessment or similar measure?
EN|##|MM170|##|OSH Management |##|Has a Health and Safety Inspector visited this workplace in the last 3 years in order to check health and safety conditions?|##|Has a Health and Safety Inspector visited this workplace in the last 3 years in order to check health and safety conditions?|##|Has a Health and Safety Inspector visited this workplace in the last 3 years in order to check health and safety conditions?
EN|##|MM173_1|##|OSH Management |##|Has your establishment used health and safety information from any of the following bodies or institutions?: Official institutes for health and safety at work|##|Official institutes for health and safety at work|##|Has your establishment used health and safety information from any of the following bodies or institutions? Official institutes for health and safety at work
EN|##|MM173_2|##|OSH Management |##|Has your establishment used health and safety information from any of the following bodies or institutions?: The European Agency for safety and health at work|##|The European Agency for safety and health at work|##|Has your establishment used health and safety information from any of the following bodies or institutions? The European Agency for safety and health at work
EN|##|MM173_3|##|OSH Management |##|Has your establishment used health and safety information from any of the following bodies or institutions?: In-house health and safety services|##|In-house health and safety services|##|Has your establishment used health and safety information from any of the following bodies or institutions? In-house health and safety services
EN|##|MM173_4|##|OSH Management |##|Has your establishment used health and safety information from any of the following bodies or institutions?: The Health and Safety Executive|##|The Health and Safety Executive|##|Has your establishment used health and safety information from any of the following bodies or institutions? The Health and Safety Executive
