Language|##|Name_1|##|Name_2|##|comments|##|Order
EN|##|OSH Management|##|OSH Management|##|no change|##|1
EN|##|Use of health and safety services|##|Use of health and safety services|##|no change|##|2
EN|##|Measures for health promotion among employees|##|Measures for health promotion among employees|##|no change|##|10
EN|##|Risk factors present in the establishment|##|Risk factors present in the establishment|##|no change|##|17
BG|##|Превантивни мерки|##|Превантивни мерки|##|new|##|28
CS|##|Preventivní opatření|##|Preventivní opatření|##|new|##|28
DA|##|Forebyggende foranstaltninger|##|Forebyggende foranstaltninger|##|new|##|28
DE|##|Vorbeugungmaßnahmen|##|Vorbeugungmaßnahmen|##|new|##|28
DE_1|##|Vorbeugungmaßnahmen|##|Vorbeugungmaßnahmen|##|new|##|28
DE_2|##|Vorbeugungmaßnahmen|##|Vorbeugungmaßnahmen|##|new|##|28
DE_3|##|Vorbeugungmassnahmen|##|Vorbeugungmassnahmen|##|new|##|28
EL|##|Προληπτικά μέτρα|##|Προληπτικά μέτρα|##|new|##|28
EL_1|##|Προληπτικά μέτρα|##|Προληπτικά μέτρα|##|new|##|28
EN|##|Preventive measures|##|Preventive measures|##|new|##|28
EN_1|##|Preventive measures|##|Preventive measures|##|new|##|28
EN_2|##|Preventive measures|##|Preventive measures|##|new|##|28
ES|##|Medidas preventivas|##|Medidas preventivas|##|new|##|28
ET|##|Ennetusmeetmed|##|Ennetusmeetmed|##|new|##|28
FI|##|Ehkäisevät toimenpiteet|##|Ehkäisevät toimenpiteet|##|new|##|28
FR|##|Mesures préventives|##|Mesures préventives|##|new|##|28
FR_1|##|Mesures préventives|##|Mesures préventives|##|new|##|28
FR_2|##|Mesures préventives|##|Mesures préventives|##|new|##|28
FR_3|##|Mesures préventives|##|Mesures préventives|##|new|##|28
HR|##|Preventivne mjere|##|Preventivne mjere|##|new|##|28
HU|##|Megelőzésére irányuló intézkedések|##|Megelőzésére irányuló intézkedések|##|new|##|28
IS|##|Fyrirbyggjandi ráðstafanir|##|Fyrirbyggjandi ráðstafanir|##|new|##|28
IT|##|Misure preventive|##|Misure preventive|##|new|##|28
IT_1|##|Misure preventive|##|Misure preventive|##|new|##|28
LT|##|Prevencinės priemonės|##|Prevencinės priemonės|##|new|##|28
LU|##|Präventivmoossname|##|Präventivmoossname|##|new|##|28
LV|##|Preventīvi pasākumi|##|Preventīvi pasākumi|##|new|##|28
MK|##|Превентивни мерки|##|Превентивни мерки|##|new|##|28
MT|##|Miżuri preventivi|##|Miżuri preventivi|##|new|##|28
NL|##|Preventieve maatregelen|##|Preventieve maatregelen|##|new|##|28
NL_1|##|Preventieve maatregelen|##|Preventieve maatregelen|##|new|##|28
NO|##|Forebyggende tiltak|##|Forebyggende tiltak|##|new|##|28
PL|##|Środki zapobiegawcze|##|Środki zapobiegawcze|##|new|##|28
PT|##|Medidas preventivas|##|Medidas preventivas|##|new|##|28
RO|##|Măsuri preventive|##|Măsuri preventive|##|new|##|28
RU_1|##|Профилактические меры|##|Профилактические меры|##|new|##|28
RU_2|##|Профилактические меры|##|Профилактические меры|##|new|##|28
RU_3|##|Профилактические меры|##|Профилактические меры|##|new|##|28
SK|##|Preventívne opatrenia|##|Preventívne opatrenia|##|new|##|28
SL|##|Preventivni ukrepi|##|Preventivni ukrepi|##|new|##|28
SR|##|Preventivne mere|##|Preventivne mere|##|new|##|28
SV|##|Förebyggande åtgärder|##|Förebyggande åtgärder|##|new|##|28
SV_1|##|Förebyggande åtgärder|##|Förebyggande åtgärder|##|new|##|28
EN|##|Aspects evaluated in the workplace risk assessments|##|Aspects evaluated in the workplace risk assessments|##|no change|##|36
EN|##|Reasons why workplace risk assessments are not carried out regularly|##|Reasons why workplace risk assessments are not carried out regularly|##|no change|##|45
EN|##|Training for employees|##|Training for employees|##|no change|##|50
EN|##|Drivers and barriers|##|Drivers and barriers|##|no change|##|57
EN|##|Psychosocial risk factors present in the establishment|##|Psychosocial risk factors present in the establishment|##|no change|##|58
EN|##|Measures to prevent psychosocial risks in the last three years|##|Measures to prevent psychosocial risks in the last three years|##|no change|##|67
BG|##|Цифрови технологии на работното място|##|Цифрови технологии на работното място|##|new|##|74
CS|##|Digitální technologie na pracovišti|##|Digitální technologie na pracovišti|##|new|##|74
DA|##|Digitale teknologier på arbejdspladsen|##|Digitale teknologier på arbejdspladsen|##|new|##|74
DE|##|Einsatz digitaler Technologien bei der Arbeit|##|Einsatz digitaler Technologien bei der Arbeit|##|new|##|74
DE_1|##|Einsatz digitaler Technologien bei der Arbeit|##|Einsatz digitaler Technologien bei der Arbeit|##|new|##|74
DE_2|##|Einsatz digitaler Technologien bei der Arbeit|##|Einsatz digitaler Technologien bei der Arbeit|##|new|##|74
DE_3|##|Einsatz digitaler Technologien bei der Arbeit|##|Einsatz digitaler Technologien bei der Arbeit|##|new|##|74
EL|##|Ψηφιακές τεχνολογίες στην εργασία|##|Ψηφιακές τεχνολογίες στην εργασία|##|new|##|74
EL_1|##|Ψηφιακές τεχνολογίες στην εργασία|##|Ψηφιακές τεχνολογίες στην εργασία|##|new|##|74
EN|##|Digital technologies at work|##|Digital technologies at work|##|new|##|74
EN_1|##|Digital technologies at work|##|Digital technologies at work|##|new|##|74
EN_2|##|Digital technologies at work|##|Digital technologies at work|##|new|##|74
ES|##|Tecnologías digitales en el trabajo|##|Tecnologías digitales en el trabajo|##|new|##|74
ET|##|Digitaaltehnoloogiad töökohas|##|Digitaaltehnoloogiad töökohas|##|new|##|74
FI|##|Digitaaliteknologia työssä|##|Digitaaliteknologia työssä|##|new|##|74
FR|##|Technologies numériques au travail|##|Technologies numériques au travail|##|new|##|74
FR_1|##|Technologies numériques au travail|##|Technologies numériques au travail|##|new|##|74
FR_2|##|Technologies numériques au travail|##|Technologies numériques au travail|##|new|##|74
FR_3|##|Technologies numériques au travail|##|Technologies numériques au travail|##|new|##|74
HR|##|Digitalne tehnologije na radu|##|Digitalne tehnologije na radu|##|new|##|74
HU|##|Digitális technológiák a munkahelyen|##|Digitális technológiák a munkahelyen|##|new|##|74
IS|##|Stafræn tækni í vinnunni|##|Stafræn tækni í vinnunni|##|new|##|74
IT|##|Tecnologie digitali sul posto di lavoro|##|Tecnologie digitali sul posto di lavoro|##|new|##|74
IT_1|##|Tecnologie digitali sul posto di lavoro|##|Tecnologie digitali sul posto di lavoro|##|new|##|74
LT|##|Skaitmeninės technologijos darbe|##|Skaitmeninės technologijos darbe|##|new|##|74
LU|##|Digital Technologien op der Aarbecht|##|Digital Technologien op der Aarbecht|##|new|##|74
LV|##|Digitālās tehnoloģijas darbā|##|Digitālās tehnoloģijas darbā|##|new|##|74
MK|##|Дигитални технологии во работењето|##|Дигитални технологии во работењето|##|new|##|74
MT|##|Teknoloġiji diġitali fuq il-post tax-xogħol|##|Teknoloġiji diġitali fuq il-post tax-xogħol|##|new|##|74
NL|##|Digitale technologieën op het werk|##|Digitale technologieën op het werk|##|new|##|74
NL_1|##|Digitale technologieën op het werk|##|Digitale technologieën op het werk|##|new|##|74
NO|##|Digitale teknologier i arbeidet|##|Digitale teknologier i arbeidet|##|new|##|74
PL|##|Technologie cyfrowe w pracy|##|Technologie cyfrowe w pracy|##|new|##|74
PT|##|Tecnologias digitais no trabalho|##|Tecnologias digitais no trabalho|##|new|##|74
RO|##|Tehnologiile digitale la locul de muncă|##|Tehnologiile digitale la locul de muncă|##|new|##|74
RU_1|##|Цифровые технологии на работе|##|Цифровые технологии на работе|##|new|##|74
RU_2|##|Цифровые технологии на работе|##|Цифровые технологии на работе|##|new|##|74
RU_3|##|Цифровые технологии на работе|##|Цифровые технологии на работе|##|new|##|74
SK|##|Digitálne technológie v práci|##|Digitálne technológie v práci|##|new|##|74
SL|##|Digitalne tehnologije pri delu|##|Digitalne tehnologije pri delu|##|new|##|74
SR|##|Digitalne tehnologije na poslu|##|Digitalne tehnologije na poslu|##|new|##|74
SV|##|Digitala tekniker på arbetsplatsen|##|Digitala tekniker på arbetsplatsen|##|new|##|74
SV_1|##|Digitala tekniker på arbetsplatsen|##|Digitala tekniker på arbetsplatsen|##|new|##|74
BG|##|Евентуални въздействия върху здравето и безопасността|##|Евентуални въздействия върху здравето и безопасността|##|new|##|82
CS|##|Případné vlivy na bezpečnost a ochranu zdraví|##|Případné vlivy na bezpečnost a ochranu zdraví|##|new|##|82
DA|##|Mulige påvirkninger på arbejdsmiljøet|##|Mulige påvirkninger på arbejdsmiljøet|##|new|##|82
