langCode|##|question|##|comments|##|name1|##|name2|##|name3|##|bottomText|##|order
EN|##|E3Q151_1|##|no change|##|An occupational health doctor|##|An occupational health doctor|##|An occupational health doctor|##||##|3
EN|##|E3Q151_2|##|no change|##|A psychologist|##|A psychologist|##|A psychologist|##||##|4
EN|##|E3Q151_3|##|no change|##|An expert dealing with the ergonomic design and set-up of workplaces|##|An expert dealing with the ergonomic design and set-up of workplaces|##|An expert dealing with the ergonomic design and set-up of workplaces|##||##|5
EN|##|E3Q151_4|##|no change|##|A general health and safety consultancy|##|A general health and safety consultancy|##|A general health and safety consultancy|##||##|6
EN|##|E3Q151_5|##|no change|##|An expert on accident prevention|##|An expert on accident prevention|##|An expert on accident prevention|##||##|7
EN|##|E3Q154|##|no change|##|Visit by the Health and Safety Executive or the local authority in the last 3 years to check health and safety conditions|##|Visit by the Health and Safety Executive or the local authority in the last 3 years to check health and safety conditions|##|Visit by the Health and Safety Executive or the local authority in the last 3 years to check health and safety conditions|##||##|8
BG|##|E3Q155|##|changed|##|Документ, който обяснява какви са отговорностите или процедурите, свързани със здравето и безопасността|##|Документ, който обяснява какви са отговорностите или процедурите, свързани със здравето и безопасността|##|(Този клон на) предприятието разполага ли с документ, който обяснява какви са отговорностите или процедурите, свързани със здравето и безопасността?|##|<p>(Този клон на) предприятието разполага ли с документ, който обяснява какви са отговорностите или процедурите, свързани със здравето и безопасността?<br>1 Да<br>2 Не<br>9 Без отговор</p>|##|9
CS|##|E3Q155|##|changed|##|Dokument, který vysvětluje povinnosti nebo postupy týkající se bezpečnosti a ochrany zdraví při práci|##|Dokument, který vysvětluje povinnosti nebo postupy týkající se bezpečnosti a ochrany zdraví při práci|##|Má vaše pracoviště dokument, který vysvětluje povinnosti nebo postupy týkající se bezpečnosti a ochrany zdraví při práci?|##|<p>Má vaše pracoviště dokument, který vysvětluje povinnosti nebo postupy týkající se bezpečnosti a ochrany zdraví při práci?</p><p>1 Ano  <br>2 Ne  <br> 9 Bez odpovědi</p>|##|9
DA|##|E3Q155|##|changed|##|Et dokument, der beskriver ansvarsfordeling og procedurer i forbindelse med arbejdsmiljø|##|Et dokument, der beskriver ansvarsfordeling og procedurer i forbindelse med arbejdsmiljø|##|Findes der på din arbejdsplads et dokument, der beskriver ansvarsfordeling og procedurer i forbindelse med arbejdsmiljø?|##|<p>Findes der på din arbejdsplads et dokument, der beskriver ansvarsfordeling og procedurer i forbindelse med arbejdsmiljø?<br>1 Ja  <br>2 Nej  <br>9 Intet svar  </p>|##|9
DE|##|E3Q155|##|changed|##|Ein Dokument, in dem die Verantwortlichkeiten oder Verfahren zu Sicherheit und Gesundheitsschutz erklärt sind|##|Ein Dokument, in dem die Verantwortlichkeiten oder Verfahren zu Sicherheit und Gesundheitsschutz erklärt sind|##|Gibt es in Ihrem Betrieb ein Dokument, in dem die Verantwortlichkeiten oder Verfahren zu Sicherheit und Gesundheitsschutz erklärt sind?|##|<p>Gibt es in Ihrem Betrieb ein Dokument, in dem die Verantwortlichkeiten oder Verfahren zu Sicherheit und Gesundheitsschutz erklärt sind?<br>1 Ja  <br>2 Nein  <br>9 Keine Antwort  </p>|##|9
DE_1|##|E3Q155|##|changed|##|Ein Dokument, in dem die Verantwortlichkeiten oder Verfahren zu Sicherheit und Gesundheitsschutz erklärt sind|##|Ein Dokument, in dem die Verantwortlichkeiten oder Verfahren zu Sicherheit und Gesundheitsschutz erklärt sind|##|Gibt es in Ihrem Betrieb ein Dokument, in dem die Verantwortlichkeiten oder Verfahren zu Sicherheit und Gesundheitsschutz erklärt sind?|##|<p>Gibt es in Ihrem Betrieb ein Dokument, in dem die Verantwortlichkeiten oder Verfahren zu Sicherheit und Gesundheitsschutz erklärt sind?<br>1 Ja  <br>2 Nein  <br>9 Keine Antwort  </p>|##|9
DE_2|##|E3Q155|##|changed|##|Ein Dokument, in dem die Verantwortlichkeiten oder Verfahren zu Sicherheit und Gesundheitsschutz erklärt sind|##|Ein Dokument, in dem die Verantwortlichkeiten oder Verfahren zu Sicherheit und Gesundheitsschutz erklärt sind|##|Gibt es in Ihrem Betrieb ein Dokument, in dem die Verantwortlichkeiten oder Verfahren zu Sicherheit und Gesundheitsschutz erklärt sind?|##|<p>Gibt es in Ihrem Betrieb ein Dokument, in dem die Verantwortlichkeiten oder Verfahren zu Sicherheit und Gesundheitsschutz erklärt sind?<br>1 Ja  <br>2 Nein  <br>9 Keine Antwort  </p>|##|9
