EntryType;Column;Value;Order;BG;CS;DA;DE;DE_1;DE_2;DE_3;EL;EL_1;EN;EN_1;EN_2;ES;ET;FI;FR;FR_1;FR_2;FR_3;HR;HU;IS;IT;IT_1;LT;LU;LV;MK;MT;NL;NL_1;NO;PL;PT;RO;RU_1;RU_2;RU_3;SK;SL;SR;SV;SV_1
SubsetValue;Sectorgrp;Agriculture, forestry and fishing;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SubsetValue;Sectorgrp;Construction, waste management, water and electricity supply;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SubsetValue;Sectorgrp;Manufacturing;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SubsetValue;Sectorgrp;Trade, transport, food/accommodation and recreation activities;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SubsetValue;Sectorgrp;IT, Finance, Real estate and other technical scientific or personal service activities;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SubsetValue;Sectorgrp;Public administration;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SubsetValue;Sectorgrp;Education;7;Образование;Vzdělávání;Undervisning;Erziehung und Unterricht;Erziehung und Unterricht;Erziehung und Unterricht;Erziehung und Unterricht;Εκπαίδευση;Εκπαίδευση;Education;Education;Education;Educación;Haridus;Koulutuspalvelut;Enseignement;Enseignement;Enseignement;Enseignement;Obrazovanje;Oktatás;Menntun;Istruzione;Istruzione;Švietimas;Bildung;Izglītība;Образование ;Edukazzjoni;Onderwijs;Onderwijs;Utdanning;Edukacja;Educação;Învățământ;Образование;Образование;Образование;Činnosti v oblasti vzdelávania;Izobraževanje;Obrazovanje;Utbildning tjänster;Utbildning tjänster
SubsetValue;Sectorgrp;Human health and social work activities;8;Xуманно здравеопазване и социална работа;Zdravotní a sociální péče;Sundhedsvæsen og sociale foranstaltninger;Gesundheits- und Sozialwesen;Gesundheits- und Sozialwesen;Gesundheits- und Sozialwesen;Gesundheits- und Sozialwesen;Aνθρώπινη υγεία και κοινωνική πρόνοια;Aνθρώπινη υγεία και κοινωνική πρόνοια;Human health and social work activities;Human health and social work activities;Human health and social work activities;Sanidad y trabajo social;Tervishoid ja sotsiaaltöö;Terveydenhuolto- ja sosiaalipalvelut;Santé humaine et action sociale;Santé humaine et action sociale;Santé humaine et action sociale;Santé humaine et action sociale;Zdravstvena zaštita i socijalna skrb;Humán-egészségügyi és szociális ellátás;Heilbrigði manna og félagsþjónusta;Sanità e assistenza sociale;Sanità e assistenza sociale;Žmonių sveikata ir su socialiniu darbu susijusi veikla;Mënschlech Gesondheet a Sozialaarbecht;Veselības un sociālā aprūpe;Aктивности за човечко здравје и социјална работа;Attivitajiet ta’ saħħa tal-bniedem u xogħol soċjali;Gezondheidszorg en maatschappelijke dienstverlening;Gezondheidszorg en maatschappelijke dienstverlening;Helse- og sosialtjenester;Opieka zdrowotna i pomoc społeczna;Saúde humana e apoio social;Activități privind sănătatea umană și asistența socială;Здоровье человека и социальная работа;Здоровье человека и социальная работа;Здоровье человека и социальная работа;Ľudského zdravia a sociálnej práce;Zdravstvo in socialno varstvo;Zdravstvo i delatnosti socijalne zaštite;Vård och omsorg samt sociala tjänster;Vård och omsorg samt sociala tjänster
SubsetValue;Size;5 to 9 employees;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SubsetValue;Size;10 to 49 employees;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SubsetValue;Size;50 to 249 employees;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SubsetValue;Size;250 or more employees;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
